
Date,Open,High,Low,Close,Volume,Adjusted Close
2013-1-1,4.41,4.41,4.41,4.41,0,4.39
2013-1-2,4.41,4.41,4.41,4.41,0,4.39
2013-1-3,4.41,4.41,4.41,4.41,0,4.39
2013-1-4,4.45,4.47,4.32,4.37,68808900,4.35
2013-1-7,4.31,4.74,4.31,4.61,167119300,4.59
2013-1-8,4.61,4.61,4.61,4.61,0,4.59
2013-1-9,4.61,4.61,4.61,4.61,0,4.59
2013-1-10,4.61,4.61,4.61,4.61,0,4.59
2013-1-11,4.61,4.61,4.61,4.61,0,4.59
2013-1-14,4.61,4.61,4.61,4.61,0,4.59
2013-1-15,4.75,5.07,4.75,5.07,197581200,5.04
2013-1-16,5.21,5.43,5.01,5.32,224227000,5.29
2013-1-17,5.28,5.4,5.13,5.22,135816400,5.19
2013-1-18,5.2,5.4,5.2,5.23,84332300,5.2
2013-1-21,5.23,5.29,5.18,5.23,52902400,5.2
2013-1-22,5.21,5.3,5.12,5.15,66667400,5.12
2013-1-23,5.1,5.18,4.98,5.08,50777900,5.05
2013-1-24,5.11,5.49,5.09,5.16,156129600,5.13
2013-1-25,5.11,5.27,5.07,5.16,84614400,5.13
2013-1-28,5.13,5.49,5.13,5.43,126025600,5.4
2013-1-29,5.41,5.82,5.33,5.75,147136100,5.72
2013-1-30,5.77,5.94,5.61,5.71,84808900,5.68
2013-1-31,5.7,5.9,5.64,5.79,77922600,5.76
2013-2-1,5.73,6.37,5.7,6.37,160923300,6.34
2013-2-4,6.68,6.68,6.17,6.25,222390100,6.22
2013-2-5,6.12,6.4,6.08,6.36,139501200,6.33
2013-2-6,6.36,6.64,6.31,6.45,120236700,6.42
2013-2-7,6.45,6.6,6.08,6.39,143673900,6.36
2013-2-8,6.29,6.42,6.23,6.26,84487100,6.23
2013-2-11,6.26,6.26,6.26,6.26,0,6.23
2013-2-12,6.26,6.26,6.26,6.26,0,6.23
2013-2-13,6.26,6.26,6.26,6.26,0,6.23
2013-2-14,6.26,6.26,6.26,6.26,0,6.23
2013-2-15,6.26,6.26,6.26,6.26,0,6.23
2013-2-18,6.28,6.31,6.06,6.07,84908500,6.04
2013-2-19,6.05,6.13,5.85,5.93,102175000,5.9
2013-2-20,5.92,6.03,5.88,6,81480200,5.97
2013-2-21,5.9,5.92,5.55,5.67,128360500,5.64
2013-2-22,5.64,5.72,5.58,5.62,68032600,5.59
2013-2-25,5.65,6.06,5.65,5.95,127683900,5.92
2013-2-26,5.83,6.05,5.76,5.83,107546200,5.8
2013-2-27,5.88,6.28,5.88,6.15,137115900,6.12
2013-2-28,6.21,6.77,6.1,6.77,287348600,6.73
2013-3-1,6.77,7.06,6.71,6.92,285537100,6.88
2013-3-4,6.7,7,6.43,6.84,265726300,6.8
2013-3-5,6.8,7.52,6.66,7.52,336223000,7.48
2013-3-6,7.5,7.93,7.36,7.53,297029200,7.49
2013-3-7,7.53,7.65,7.17,7.34,216118100,7.3
2013-3-8,7.36,7.38,6.89,6.97,210030700,6.93
2013-3-11,6.89,7.34,6.86,7.12,173336800,7.08
2013-3-12,7.11,7.35,6.88,7.18,169796600,7.14
2013-3-13,7.09,7.17,6.86,6.98,120281500,6.94
2013-3-14,6.9,7.27,6.9,7.09,153163900,7.05
2013-3-15,7.1,7.63,6.81,7.21,313332600,7.17
2013-3-18,7.14,7.41,7.03,7.13,164899000,7.09
2013-3-19,7.07,7.37,6.91,7.24,161564600,7.2
2013-3-20,7.2,7.96,7.2,7.96,344444400,7.92
2013-3-21,7.9,8.02,7.8,7.97,221141400,7.93
2013-3-22,7.92,7.99,7.81,7.9,126891300,7.86
2013-3-25,7.99,8.25,7.73,7.79,202238100,7.75
2013-3-26,7.65,7.71,7.42,7.56,190062300,7.52
2013-3-27,7.6,7.91,7.55,7.79,180159000,7.75
2013-3-28,7.58,7.65,7.37,7.43,174188200,7.39
2013-3-29,7.52,7.55,7.1,7.12,148054900,7.08
2013-4-1,7.16,7.32,7.09,7.2,89589700,7.16
2013-4-2,7.24,7.53,7.21,7.49,181191900,7.45
2013-4-3,7.41,7.54,7.25,7.33,101589200,7.29
2013-4-4,7.33,7.33,7.33,7.33,0,7.29
2013-4-5,7.33,7.33,7.33,7.33,0,7.29
2013-4-8,7.11,7.23,6.95,7.18,107421000,7.14
2013-4-9,7.26,7.6,7.22,7.41,140748800,7.37
2013-4-10,7.38,7.42,7.05,7.22,112922000,7.18
2013-4-11,7.32,7.38,7.06,7.07,95078000,7.03
2013-4-12,7.03,7.05,6.53,6.59,227649100,6.55
2013-4-15,6.5,6.59,6.28,6.52,146635200,6.48
2013-4-16,6.41,6.75,6.39,6.68,147916200,6.64
2013-4-17,6.69,6.74,6.46,6.54,112135400,6.5
2013-4-18,6.46,6.72,6.45,6.65,127255800,6.61
2013-4-19,6.68,7.32,6.66,7.24,341998800,7.2
2013-4-22,7.16,7.31,7.14,7.3,186835600,7.26
2013-4-23,7.3,7.3,6.8,6.85,201577100,6.81
